simulation_id,real_concentration_name_file,wind_speed,wind_dir_mean,stability_class,stability_index,sigma_y,sigma_z,RH,humidify,source_x,source_y,source_h,emission_rate,dispersion_model,gps_x,gps_y
0,sim_0_conc_real_2025-11-10.npy,4.57,-4.99,NEUTRAL,4,42.616,21.308,0.38,True,228.0,57.0,9.73,0.0029,PUFF,0.45691382765531063,0.11422845691382766
1,sim_1_conc_real_2025-11-10.npy,7.64,-5.25,NEUTRAL,4,42.451,21.226,0.85,True,55.0,35.0,5.33,0.0038,PLUME,0.11022044088176353,0.07014028056112225
2,sim_2_conc_real_2025-11-10.npy,4.94,129.14,VERY_UNSTABLE,1,202.08,101.04,0.16,True,471.0,150.0,4.75,0.0007,PUFF,0.9438877755511023,0.30060120240480964
3,sim_3_conc_real_2025-11-10.npy,7.8,0.02,NEUTRAL,4,42.659,21.329,0.0,False,248.0,84.0,7.56,0.0044,PUFF,0.4969939879759519,0.1683366733466934
4,sim_4_conc_real_2025-11-10.npy,4.59,0.0,NEUTRAL,4,43.358,21.679,0.77,True,404.0,351.0,9.94,0.0042,PUFF,0.8096192384769539,0.7034068136272545
5,sim_5_conc_real_2025-11-10.npy,6.67,-0.73,NEUTRAL,4,43.463,21.731,0.0,False,464.0,322.0,1.97,0.0063,PUFF,0.9298597194388778,0.6452905811623246
6,sim_6_conc_real_2025-11-10.npy,1.81,0.0,MODERATELY_STABLE,5,25.442,12.721,0.0,False,163.0,108.0,3.34,0.0071,PUFF,0.32665330661322645,0.21643286573146292
7,sim_7_conc_real_2025-11-10.npy,4.68,0.0,NEUTRAL,4,43.47,21.735,0.89,True,283.0,491.0,5.65,0.0021,PUFF,0.5671342685370742,0.9839679358717435
8,sim_8_conc_real_2025-11-10.npy,3.18,15.44,SLIGHTLY_UNSTABLE,3,73.338,36.669,0.83,True,151.0,23.0,5.55,0.0053,PUFF,0.3026052104208417,0.04609218436873747
9,sim_9_conc_real_2025-11-10.npy,6.23,0.0,NEUTRAL,4,42.666,21.333,0.72,True,266.0,0.0,2.23,0.0026,PLUME,0.533066132264529,0.0
10,sim_10_conc_real_2025-11-10.npy,6.07,0.0,SLIGHTLY_UNSTABLE,3,73.796,36.898,0.19,True,104.0,303.0,7.39,0.0001,PUFF,0.20841683366733466,0.6072144288577155
11,sim_11_conc_real_2025-11-10.npy,2.49,0.0,MODERATELY_UNSTABLE,2,125.721,62.861,0.0,False,389.0,189.0,8.67,0.0021,PUFF,0.779559118236473,0.3787575150300601
12,sim_12_conc_real_2025-11-10.npy,4.4,-15.89,MODERATELY_UNSTABLE,2,124.86,62.43,0.24,True,317.0,9.0,9.49,0.0095,PLUME,0.6352705410821643,0.018036072144288578
13,sim_13_conc_real_2025-11-10.npy,6.2,-134.0,NEUTRAL,4,43.299,21.65,0.0,False,371.0,361.0,6.0,0.0027,PUFF,0.7434869739478958,0.7234468937875751
14,sim_14_conc_real_2025-11-10.npy,5.27,29.33,NEUTRAL,4,42.473,21.236,0.18,True,24.0,102.0,4.41,0.0006,PUFF,0.04809619238476954,0.20440881763527055
15,sim_15_conc_real_2025-11-10.npy,6.63,0.0,NEUTRAL,4,42.599,21.3,0.75,True,78.0,210.0,7.41,0.0071,PUFF,0.156312625250501,0.42084168336673344
16,sim_16_conc_real_2025-11-10.npy,6.21,-1.26,NEUTRAL,4,43.671,21.836,0.21,True,402.0,472.0,6.09,0.0044,PUFF,0.8056112224448898,0.9458917835671342
17,sim_17_conc_real_2025-11-10.npy,4.87,0.0,NEUTRAL,4,43.596,21.798,0.0,False,493.0,343.0,6.56,0.0055,PLUME,0.9879759519038076,0.687374749498998
18,sim_18_conc_real_2025-11-10.npy,5.8,0.26,NEUTRAL,4,43.466,21.733,0.0,False,421.0,378.0,2.76,0.0071,PLUME,0.843687374749499,0.7575150300601202
19,sim_19_conc_real_2025-11-10.npy,6.66,0.22,NEUTRAL,4,42.515,21.258,0.24,True,47.0,148.0,6.32,0.0051,PUFF,0.09418837675350701,0.2965931863727455
20,sim_20_conc_real_2025-11-10.npy,4.14,0.0,NEUTRAL,4,43.029,21.514,0.0,False,188.0,385.0,3.86,0.0055,PLUME,0.37675350701402804,0.7715430861723447
21,sim_21_conc_real_2025-11-10.npy,4.7,2.85,VERY_UNSTABLE,1,205.064,102.532,0.0,False,457.0,469.0,9.25,0.0067,PLUME,0.9158316633266533,0.9398797595190381
