simulation_id,real_concentration_name_file,wind_speed,wind_dir_mean,stability_class,stability_index,sigma_y,sigma_z,RH,humidify,source_x,source_y,source_h,emission_rate,dispersion_model,gps_x,gps_y,wind_dir_cos,wind_dir_sin
0,sim_0_conc_real_2025-11-10.npy,4.57,-4.99,2,4,42.616,21.308,0.38,True,228.0,57.0,9.73,0.0029,1,0.4569138276553106,0.1142284569138276,0.9962098944654851,-0.08698187264635691
1,sim_1_conc_real_2025-11-10.npy,7.64,-5.25,2,4,42.451,21.226,0.85,True,55.0,35.0,5.33,0.0038,0,0.1102204408817635,0.0701402805611222,0.9958049275746618,-0.09150161866340238
2,sim_2_conc_real_2025-11-10.npy,4.94,129.14,5,1,202.08,101.04,0.16,True,471.0,150.0,4.75,0.0007,1,0.9438877755511024,0.3006012024048096,-0.631217436293476,0.7756059232104223
3,sim_3_conc_real_2025-11-10.npy,7.8,0.02,2,4,42.659,21.329,0.0,False,248.0,84.0,7.56,0.0044,1,0.4969939879759519,0.1683366733466934,0.9999999390765166,0.00034906584331009674
4,sim_4_conc_real_2025-11-10.npy,4.59,0.0,2,4,43.358,21.679,0.77,True,404.0,351.0,9.94,0.0042,1,0.8096192384769539,0.7034068136272545,1.0,0.0
5,sim_5_conc_real_2025-11-10.npy,6.67,-0.73,2,4,43.463,21.731,0.0,False,464.0,322.0,1.97,0.0063,1,0.9298597194388778,0.6452905811623246,0.9999188357864599,-0.012740558835888214
6,sim_6_conc_real_2025-11-10.npy,1.81,0.0,0,5,25.442,12.721,0.0,False,163.0,108.0,3.34,0.0071,1,0.3266533066132264,0.2164328657314629,1.0,0.0
7,sim_7_conc_real_2025-11-10.npy,4.68,0.0,2,4,43.47,21.735,0.89,True,283.0,491.0,5.65,0.0021,1,0.5671342685370742,0.9839679358717436,1.0,0.0
8,sim_8_conc_real_2025-11-10.npy,3.18,15.44,3,3,73.338,36.669,0.83,True,151.0,23.0,5.55,0.0053,1,0.3026052104208417,0.0460921843687374,0.9639097761610175,0.2662291182820112
9,sim_9_conc_real_2025-11-10.npy,6.23,0.0,2,4,42.666,21.333,0.72,True,266.0,0.0,2.23,0.0026,0,0.533066132264529,0.0,1.0,0.0
10,sim_10_conc_real_2025-11-10.npy,6.07,0.0,3,3,73.796,36.898,0.19,True,104.0,303.0,7.39,0.0001,1,0.2084168336673346,0.6072144288577155,1.0,0.0
11,sim_11_conc_real_2025-11-10.npy,2.49,0.0,1,2,125.721,62.861,0.0,False,389.0,189.0,8.67,0.0021,1,0.779559118236473,0.3787575150300601,1.0,0.0
12,sim_12_conc_real_2025-11-10.npy,4.4,-15.89,1,2,124.86,62.43,0.24,True,317.0,9.0,9.49,0.0095,0,0.6352705410821643,0.0180360721442885,0.9617891098046346,-0.2737913589966064
13,sim_13_conc_real_2025-11-10.npy,6.2,-134.0,2,4,43.299,21.65,0.0,False,371.0,361.0,6.0,0.0027,1,0.7434869739478958,0.7234468937875751,-0.6946583704589974,-0.7193398003386511
14,sim_14_conc_real_2025-11-10.npy,5.27,29.33,2,4,42.473,21.236,0.18,True,24.0,102.0,4.41,0.0006,1,0.0480961923847695,0.2044088176352705,0.8718129128499253,0.48983899904777733
15,sim_15_conc_real_2025-11-10.npy,6.63,0.0,2,4,42.599,21.3,0.75,True,78.0,210.0,7.41,0.0071,1,0.156312625250501,0.4208416833667334,1.0,0.0
16,sim_16_conc_real_2025-11-10.npy,6.21,-1.26,2,4,43.671,21.836,0.21,True,402.0,472.0,6.09,0.0044,1,0.8056112224448898,0.9458917835671342,0.999758204436984,-0.021989376092505106
17,sim_17_conc_real_2025-11-10.npy,4.87,0.0,2,4,43.596,21.798,0.0,False,493.0,343.0,6.56,0.0055,0,0.9879759519038076,0.687374749498998,1.0,0.0
18,sim_18_conc_real_2025-11-10.npy,5.8,0.26,2,4,43.466,21.733,0.0,False,421.0,378.0,2.76,0.0071,0,0.843687374749499,0.7575150300601202,0.9999897039488793,0.00453784048117526
19,sim_19_conc_real_2025-11-10.npy,6.66,0.22,2,4,42.515,21.258,0.24,True,47.0,148.0,6.32,0.0051,1,0.094188376753507,0.2965931863727455,0.9999926282674982,0.0038397149192426145
20,sim_20_conc_real_2025-11-10.npy,4.14,0.0,2,4,43.029,21.514,0.0,False,188.0,385.0,3.86,0.0055,0,0.376753507014028,0.7715430861723447,1.0,0.0
21,sim_21_conc_real_2025-11-10.npy,4.7,2.85,5,1,205.064,102.532,0.0,False,457.0,469.0,9.25,0.0067,0,0.9158316633266532,0.939879759519038,0.9987631275635946,0.04972137386865785
22,sim_22_conc_real_2025-11-10.npy,4.6,0.0,2,4,42.989,21.495,0.05,True,84.0,405.0,1.01,0.0046,1,0.1683366733466934,0.811623246492986,1.0,0.0
23,sim_23_conc_real_2025-11-10.npy,2.28,0.0,1,2,126.471,63.236,0.0,False,485.0,165.0,3.47,0.0066,0,0.9719438877755512,0.3306613226452906,1.0,0.0
24,sim_24_conc_real_2025-11-10.npy,7.28,-149.05,2,4,42.512,21.256,0.0,False,136.0,67.0,6.91,0.0059,0,0.2725450901803607,0.1342685370741483,-0.8576164297689878,-0.514289859311162
25,sim_25_conc_real_2025-11-10.npy,2.66,-5.6,4,6,14.803,7.401,0.0,False,189.0,466.0,5.87,0.0007,1,0.3787575150300601,0.933867735470942,0.9952273999818312,-0.09758289975914947
26,sim_26_conc_real_2025-11-10.npy,6.94,-98.27,2,4,42.965,21.483,0.0,False,53.0,401.0,5.87,0.0099,0,0.1062124248496994,0.8036072144288577,-0.143838066745032,-0.9896012381535564
27,sim_27_conc_real_2025-11-10.npy,6.38,-87.31,2,4,42.447,21.224,0.0,False,52.0,19.0,1.79,0.0014,0,0.1042084168336673,0.0380761523046092,0.04693211082122632,-0.9988980813746036
28,sim_28_conc_real_2025-11-10.npy,3.27,5.13,5,1,199.556,99.778,0.0,False,209.0,214.0,3.5,0.0088,1,0.4188376753507014,0.4288577154308617,0.9959943839327459,0.08941581053946851
29,sim_29_conc_real_2025-11-10.npy,2.12,-3.45,4,6,14.758,7.379,0.22,True,156.0,431.0,2.08,0.0089,0,0.312625250501002,0.8637274549098196,0.9981876932544915,-0.06017747946929345
30,sim_30_conc_real_2025-11-10.npy,5.09,120.8,2,4,42.478,21.239,0.35,True,73.0,85.0,8.61,0.0091,0,0.1462925851703407,0.1703406813627254,-0.5120428648705714,0.8589598969306645
31,sim_31_conc_real_2025-11-10.npy,5.75,0.0,2,4,43.568,21.784,0.95,True,371.0,463.0,1.82,0.0088,0,0.7434869739478958,0.9278557114228456,1.0,0.0
32,sim_32_conc_real_2025-11-10.npy,6.63,32.68,2,4,42.61,21.305,0.0,False,225.0,52.0,8.92,0.0051,0,0.4509018036072144,0.1042084168336673,0.8416993101205956,0.5399465448935786
33,sim_33_conc_real_2025-11-10.npy,6.59,0.28,2,4,42.512,21.256,0.0,True,151.0,13.0,5.7,0.0055,1,0.3026052104208417,0.0260521042084168,0.9999880590209089,0.0048869024540245404
34,sim_34_conc_real_2025-11-10.npy,2.64,-5.4,1,2,125.292,62.646,0.72,True,110.0,363.0,5.41,0.0054,0,0.220440881763527,0.7274549098196392,0.99556196460308,-0.09410831331851433
35,sim_35_conc_real_2025-11-10.npy,4.91,-3.95,1,2,128.05,64.025,0.43,True,460.0,459.0,7.46,0.0058,0,0.9218436873747496,0.9198396793587176,0.997624544414959,-0.06888590843449467
36,sim_36_conc_real_2025-11-10.npy,6.65,-2.98,2,4,42.635,21.318,0.0,False,36.0,245.0,6.3,0.0072,1,0.0721442885771543,0.4909819639278557,0.9986477426092855,-0.0519873655937516
37,sim_37_conc_real_2025-11-10.npy,4.13,0.0,2,4,43.283,21.642,0.0,False,485.0,166.0,1.84,0.0097,1,0.9719438877755512,0.3326653306613226,1.0,0.0
38,sim_38_conc_real_2025-11-10.npy,1.19,0.0,4,6,14.671,7.336,0.0,False,18.0,354.0,1.79,0.0067,1,0.0360721442885771,0.7094188376753507,1.0,0.0
