simulation_id,real_concentration_name_file,wind_speed,wind_dir_mean,stability_class,stability_index,RH,humidify,source_x,source_y,source_h,emission_rate,dispersion_model,gps_x,gps_y
0,sim_0_conc_real_2025-11-24.npy,2.89,-134.71,MODERATELY_UNSTABLE,2,0.0,False,15.0,201.0,1.96,0.004679979039542441,PLUME,0.03006012024048096,0.4028056112224449
1,sim_1_conc_real_2025-11-24.npy,1.64,-135.14,VERY_STABLE,6,0.0,False,105.0,352.0,6.93,0.013098610535731468,PLUME,0.21042084168336672,0.7054108216432866
2,sim_2_conc_real_2025-11-24.npy,7.28,-135.08,NEUTRAL,4,0.23,True,393.0,472.0,6.22,0.010071411326876473,PLUME,0.7875751503006012,0.9458917835671342
3,sim_3_conc_real_2025-11-24.npy,3.74,-135.15,VERY_UNSTABLE,1,0.9,True,348.0,246.0,1.04,0.00944402581340195,PLUME,0.6973947895791583,0.49298597194388777
4,sim_4_conc_real_2025-11-24.npy,4.32,-135.14,NEUTRAL,4,0.69,True,488.0,97.0,5.58,0.008854412254830751,PLUME,0.9779559118236473,0.19438877755511022
5,sim_5_conc_real_2025-11-24.npy,5.41,-135.18,NEUTRAL,4,0.85,True,477.0,195.0,9.21,0.008629137035074596,PLUME,0.9559118236472945,0.3907815631262525
6,sim_6_conc_real_2025-11-24.npy,5.8,-134.56,NEUTRAL,4,0.0,False,365.0,324.0,8.02,0.0027726369706534072,PLUME,0.7314629258517034,0.6492985971943888
7,sim_7_conc_real_2025-11-24.npy,5.26,-134.99,NEUTRAL,4,0.0,False,181.0,54.0,9.99,0.005149655931410364,PLUME,0.3627254509018036,0.10821643286573146
8,sim_8_conc_real_2025-11-24.npy,4.26,-134.76,NEUTRAL,4,0.88,True,209.0,22.0,3.08,0.009721387136492286,PLUME,0.4188376753507014,0.04408817635270541
9,sim_9_conc_real_2025-11-24.npy,4.02,-134.84,SLIGHTLY_UNSTABLE,3,0.0,False,399.0,449.0,9.66,0.013418277304858945,PLUME,0.7995991983967936,0.8997995991983968
10,sim_10_conc_real_2025-11-24.npy,4.07,-135.17,VERY_UNSTABLE,1,0.52,True,360.0,467.0,2.43,0.01330699643960826,PLUME,0.7214428857715431,0.935871743486974
11,sim_11_conc_real_2025-11-24.npy,6.25,-135.01,NEUTRAL,4,0.0,False,199.0,33.0,9.17,0.00413604637803254,PLUME,0.39879759519038077,0.06613226452905811
12,sim_12_conc_real_2025-11-24.npy,1.76,-134.93,VERY_STABLE,6,0.0,False,72.0,362.0,6.8,0.011009176700152029,PLUME,0.14428857715430862,0.7254509018036072
13,sim_13_conc_real_2025-11-24.npy,7.87,-134.84,NEUTRAL,4,0.0,False,378.0,499.0,2.54,0.002304651954344715,PLUME,0.7575150300601202,1.0
14,sim_14_conc_real_2025-11-24.npy,4.02,-134.8,NEUTRAL,4,0.03,True,242.0,100.0,4.98,0.013482040036505695,PLUME,0.4849699398797595,0.20040080160320642
15,sim_15_conc_real_2025-11-24.npy,3.03,-135.15,MODERATELY_STABLE,5,0.46,True,431.0,391.0,2.38,0.008957688823965585,PLUME,0.8637274549098196,0.7835671342685371
16,sim_16_conc_real_2025-11-24.npy,2.68,-135.13,MODERATELY_UNSTABLE,2,0.0,False,151.0,37.0,8.13,0.002986845533249128,PLUME,0.3026052104208417,0.07414829659318638
17,sim_17_conc_real_2025-11-24.npy,3.55,-134.94,VERY_UNSTABLE,1,0.91,True,352.0,375.0,6.7,0.009877445404011595,PLUME,0.7054108216432866,0.751503006012024
18,sim_18_conc_real_2025-11-24.npy,7.07,-135.33,NEUTRAL,4,0.0,False,455.0,237.0,1.94,0.010457661863021467,PLUME,0.9118236472945892,0.4749498997995992
19,sim_19_conc_real_2025-11-24.npy,4.84,-135.06,MODERATELY_UNSTABLE,2,0.79,True,498.0,475.0,5.31,0.0024025347363675793,PLUME,0.9979959919839679,0.9519038076152304
20,sim_20_conc_real_2025-11-24.npy,7.88,-134.77,NEUTRAL,4,0.2,True,497.0,109.0,5.93,0.0069103442210224665,PLUME,0.9959919839679359,0.218436873747495
21,sim_21_conc_real_2025-11-24.npy,4.56,-134.96,VERY_UNSTABLE,1,0.0,False,146.0,431.0,9.3,0.013060626200618524,PLUME,0.2925851703406814,0.8637274549098196
22,sim_22_conc_real_2025-11-24.npy,5.68,-134.83,NEUTRAL,4,0.55,True,465.0,386.0,7.22,0.004102171160927489,PLUME,0.9318637274549099,0.7735470941883767
23,sim_23_conc_real_2025-11-24.npy,1.65,-134.31,VERY_STABLE,6,0.0,False,0.0,318.0,5.37,0.011959328637710933,PLUME,0.0,0.6372745490981964
