simulation_id,real_concentration_name_file,wind_speed,wind_dir_mean,stability_class,stability_index,RH,humidify,source_x,source_y,source_h,emission_rate,dispersion_model,gps_x,gps_y,wind_dir_cos,wind_dir_sin
0,sim_0_conc_real_2025-11-24.npy,2.89,-134.71,1,2,0.0,False,15.0,201.0,1.96,0.0046799790395424,0,0.0300601202404809,0.4028056112224449,-0.7035187500079655,-0.7106766975124692
1,sim_1_conc_real_2025-11-24.npy,1.64,-135.14,4,6,0.0,False,105.0,352.0,6.93,0.0130986105357314,0,0.2104208416833667,0.7054108216432866,-0.7088324563865653,-0.7053768842065835
2,sim_2_conc_real_2025-11-24.npy,7.28,-135.08,2,4,0.23,True,393.0,472.0,6.22,0.0100714113268764,0,0.7875751503006012,0.9458917835671342,-0.7080933989149112,-0.7061187849173314
3,sim_3_conc_real_2025-11-24.npy,3.74,-135.15,5,1,0.9,True,348.0,246.0,1.04,0.0094440258134019,0,0.6973947895791583,0.4929859719438877,-0.7089555570807735,-0.7052531588616175
4,sim_4_conc_real_2025-11-24.npy,4.32,-135.14,2,4,0.69,True,488.0,97.0,5.58,0.0088544122548307,0,0.9779559118236472,0.1943887775551102,-0.7088324563865653,-0.7053768842065835
5,sim_5_conc_real_2025-11-24.npy,5.41,-135.18,2,4,0.85,True,477.0,195.0,9.21,0.0086291370350745,0,0.9559118236472944,0.3907815631262525,-0.709324729572274,-0.7048818539423614
6,sim_6_conc_real_2025-11-24.npy,5.8,-134.56,2,4,0.0,False,365.0,324.0,8.02,0.0027726369706534,0,0.7314629258517034,0.6492985971943888,-0.7016557939706074,-0.7125160677398626
7,sim_7_conc_real_2025-11-24.npy,5.26,-134.99,2,4,0.0,False,181.0,54.0,9.99,0.0051496559314103,0,0.3627254509018036,0.1082164328657314,-0.706983357002373,-0.7072301838310177
8,sim_8_conc_real_2025-11-24.npy,4.26,-134.76,2,4,0.88,True,209.0,22.0,3.08,0.0097213871364922,0,0.4188376753507014,0.0440881763527054,-0.7041386644636228,-0.7100624910579248
9,sim_9_conc_real_2025-11-24.npy,4.02,-134.84,3,3,0.0,False,399.0,449.0,9.66,0.0134182773048589,0,0.7995991983967936,0.8997995991983968,-0.7051294120334124,-0.70907863617896
10,sim_10_conc_real_2025-11-24.npy,4.07,-135.17,5,1,0.52,True,360.0,467.0,2.43,0.0133069964396082,0,0.7214428857715431,0.935871743486974,-0.7092016936773763,-0.705005643725737
11,sim_11_conc_real_2025-11-24.npy,6.25,-135.01,2,4,0.0,False,199.0,33.0,9.17,0.0041360463780325,0,0.3987975951903807,0.0661322645290581,-0.7072301838310175,-0.7069833570023731
12,sim_12_conc_real_2025-11-24.npy,1.76,-134.93,4,6,0.0,False,72.0,362.0,6.8,0.011009176700152,0,0.1442885771543086,0.7254509018036072,-0.7062423597741271,-0.7079701471535876
13,sim_13_conc_real_2025-11-24.npy,7.87,-134.84,2,4,0.0,False,378.0,499.0,2.54,0.0023046519543447,0,0.7575150300601202,1.0,-0.7051294120334124,-0.70907863617896
14,sim_14_conc_real_2025-11-24.npy,4.02,-134.8,2,4,0.03,True,242.0,100.0,4.98,0.0134820400365056,0,0.4849699398797595,0.2004008016032064,-0.7046342099635947,-0.7095707365365208
15,sim_15_conc_real_2025-11-24.npy,3.03,-135.15,0,5,0.46,True,431.0,391.0,2.38,0.0089576888239655,0,0.8637274549098196,0.7835671342685371,-0.7089555570807735,-0.7052531588616175
16,sim_16_conc_real_2025-11-24.npy,2.68,-135.13,1,2,0.0,False,151.0,37.0,8.13,0.0029868455332491,0,0.3026052104208417,0.0741482965931863,-0.7087093341000861,-0.7055005880645406
17,sim_17_conc_real_2025-11-24.npy,3.55,-134.94,5,1,0.91,True,352.0,375.0,6.7,0.0098774454040115,0,0.7054108216432866,0.751503006012024,-0.70636591311755,-0.7078468738262603
18,sim_18_conc_real_2025-11-24.npy,7.07,-135.33,2,4,0.0,False,455.0,237.0,1.94,0.0104576618630214,0,0.9118236472945892,0.4749498997995992,-0.7111676730264643,-0.7030224326734701
19,sim_19_conc_real_2025-11-24.npy,4.84,-135.06,1,2,0.79,True,498.0,475.0,5.31,0.0024025347363675,0,0.997995991983968,0.9519038076152304,-0.7078468738262602,-0.7063659131175501
20,sim_20_conc_real_2025-11-24.npy,7.88,-134.77,2,4,0.2,True,497.0,109.0,5.93,0.0069103442210224,0,0.995991983967936,0.218436873747495,-0.7042625830219875,-0.7099395848628234
21,sim_21_conc_real_2025-11-24.npy,4.56,-134.96,5,1,0.0,False,146.0,431.0,9.3,0.0130606262006185,0,0.2925851703406814,0.8637274549098196,-0.7066129552492247,-0.7076002624886153
22,sim_22_conc_real_2025-11-24.npy,5.68,-134.83,2,4,0.55,True,465.0,386.0,7.22,0.0041021711609274,0,0.93186372745491,0.7735470941883767,-0.7050056437257369,-0.7092016936773764
23,sim_23_conc_real_2025-11-24.npy,1.65,-134.31,4,6,0.0,False,0.0,318.0,5.37,0.0119593286377109,0,0.0,0.6372745490981964,-0.6985401867392561,-0.7155708263409607
24,sim_24_conc_real_2025-11-24.npy,6.61,-134.89,2,4,0.0,False,71.0,329.0,3.03,0.0127255096258392,0,0.1422845691382765,0.6593186372745491,-0.7057479313043562,-0.7084630247653166
25,sim_25_conc_real_2025-11-24.npy,6.99,-135.1,2,4,0.02,True,456.0,187.0,3.54,0.0095187793075016,0,0.9138276553106212,0.374749498997996,-0.7083398377245287,-0.7058715706786811
26,sim_26_conc_real_2025-11-24.npy,5.3,-134.77,2,4,0.95,True,353.0,232.0,5.33,0.0129026164163438,0,0.7074148296593187,0.4649298597194389,-0.7042625830219875,-0.7099395848628234
27,sim_27_conc_real_2025-11-24.npy,5.17,-134.99,3,3,0.0,False,224.0,495.0,9.89,0.0035162166587076,0,0.4488977955911823,0.9919839679358716,-0.706983357002373,-0.7072301838310177
